latitude,longitude,uid
4.30462,7.659541,1
5.684903,6.359647,2
5.659598,6.516633,3
5.559551,5.07267,4
4.017003,7.491972,5
5.358817,4.342073,6
3.575626,7.393928,7
5.386253,6.657234,8
5.900608,5.583216,9
5.459178,6.694859,10
3.465383,5.561578,11
6.062263,5.58656,12
4.146203,7.971983,13
4.290185,8.166962,14
4.554732,4.615972,15
5.434004,5.884371,16
5.708496,4.481323,17
6.013565,5.865303,18
5.914,4.880079,19
5.250574,6.599804,20
3.989495,7.290166,21
5.634678,6.669557,22
5.614351,5.201751,23
5.687516,6.591678,24
4.459634,7.468431,25
5.524135,5.467956,26
5.515925,5.937612,27
4.661217,6.077415,28
4.552083,7.045089,29
5.951062,5.050611,30
5.447546,5.880212,31
5.099691,6.506619,32
4.507467,5.740146,33
4.433582,6.324796,34
4.553095,8.009779,35
3.940497,6.397382,36
4.317069,8.366155,37
4.403645,7.828618,38
5.568347,6.305121,39
4.526586,6.632591,40
4.653601,7.059559,41
4.655795,6.614993,42
4.441563,6.361488,43
6.065215,5.437436,44
3.142028,6.823378,45
4.556526,7.003448,46
5.619135,6.814901,47
4.338374,5.925494,48
5.503769,6.832001,49
4.423213,7.155329,50
3.936123,5.870644,51
4.802669,5.312055,52
5.665758,6.394393,53
4.1355,7.516022,54
5.716861,6.486636,55
4.628927,6.26371,56
4.326683,5.82168,57
4.800514,6.090093,58
4.813747,5.961747,59
5.535975,5.194904,60
5.687882,5.377311,61
4.878816,5.616022,62
4.106437,7.624873,63
5.924015,5.316307,64
5.88312,6.218143,65
4.415342,7.141503,66
5.537715,5.091982,67
5.823264,6.441986,68
4.555974,5.921228,69
5.803185,6.560985,70
5.424581,6.596192,71
4.271805,8.337896,72
4.530066,6.818969,73
5.715752,6.421149,74
5.008186,7.019113,75
6.042018,6.276128,76
5.192836,6.762004,77
4.979973,7.181008,78
4.96675,6.642349,79
4.930158,7.016283,80
5.600334,5.109136,81
3.953944,7.774942,82
4.559903,6.710285,83
6.038248,5.717599,84
4.554508,6.900634,85
4.549402,6.666138,86
4.034906,7.686364,87
4.53986,6.50342,88
4.982105,7.117765,89
5.521819,6.058705,90
4.605932,8.01605,91
5.45917,6.179936,92
5.237622,6.626879,93
5.573785,5.05922,94
4.933319,6.976384,95
6.127114,6.014936,96
4.58192,8.190758,97
6.442561,4.049151,98
5.733467,6.394979,99
5.018349,6.300244,100
5.327077,6.241905,101
3.955482,7.758338,102
6.163028,2.931778,103
5.783931,5.428303,104
4.62586,6.815218,105
5.538556,5.894474,106
5.330581,5.209126,107
4.865888,7.247996,108
4.367032,5.79112,109
5.489724,6.135876,110
4.452339,6.325523,111
5.774274,4.890512,112
5.66166,6.706349,113
5.861821,5.689796,114
